id,iso_code,date,new_cases,new_deaths,icu_patients,hosp_patients,new_tests,positive_rate,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,excess_mortality
178490,MLT,2022-06-03,118.0,0.0,,,1102.0,,,,,,
178491,MHL,2022-06-02,0.0,,,,,,,,,,
178492,MHL,2022-06-03,1.0,,,,,,,,,,
178493,MRT,2022-06-02,14.0,0.0,,,,0.0033,,,,,
178494,MRT,2022-06-03,6.0,0.0,,,,,,,,,
178495,MUS,2022-06-02,989.0,0.0,,,,,,,,,
178496,MUS,2022-06-03,,0.0,,,,,,,,,
178497,MEX,2022-06-02,3378.0,15.0,,,,,,,,,
178498,MEX,2022-06-03,,,,,,,,,,,
178499,FSM,2022-06-02,0.0,,,,,,,,,,
178500,FSM,2022-06-03,0.0,,,,,,,,,,
178501,MDA,2022-06-02,,0.0,,,,,,1063425.0,,,
178502,MDA,2022-06-03,,0.0,,,,,,,,,
178503,MCO,2022-06-02,0.0,0.0,,,,,,,,,
178504,MCO,2022-06-03,0.0,0.0,,,,,,,,,
178505,MNG,2022-06-02,0.0,0.0,,,,,,,,,
178506,MNG,2022-06-03,154.0,0.0,,,,,,,,,
178507,MNE,2022-06-02,68.0,0.0,,,,,291200.0,283317.0,99412.0,77.0,
178508,MNE,2022-06-03,66.0,0.0,,,,,291215.0,283335.0,99431.0,52.0,
178509,MSR,2022-06-02,0.0,0.0,,,,,,,,,
178510,MSR,2022-06-03,23.0,2.0,,,,,,,,,
178511,MAR,2022-06-02,393.0,1.0,,,,,,,,,
178512,MAR,2022-06-03,425.0,0.0,,,,,,,,,
178513,MOZ,2022-06-02,0.0,0.0,,,,0.0455,,,,,
178514,MOZ,2022-06-03,54.0,0.0,,,,,,,,,
178515,MMR,2022-06-02,7.0,0.0,,,,0.0019,,,,,
178516,MMR,2022-06-03,15.0,0.0,,,,,,,,,
178517,NAM,2022-06-02,200.0,0.0,,,,0.2203,,,,,
178518,NAM,2022-06-03,,0.0,,,,,,,,,
178519,NPL,2022-06-02,11.0,0.0,,,,,22413482.0,19885258.0,4456127.0,143582.0,
178520,NPL,2022-06-03,19.0,0.0,,,,0.004,22425004.0,19902055.0,4515114.0,82413.0,
178521,NLD,2022-06-02,1535.0,1.0,25.0,297.0,,,,,,,
178522,NLD,2022-06-03,1458.0,0.0,20.0,301.0,,,,,,,
178523,NCL,2022-06-02,,0.0,,,,,,,,,
178524,NCL,2022-06-03,,0.0,,,,,,,,,
178525,NZL,2022-06-02,6335.0,12.0,,,,,4290746.0,4104632.0,2693164.0,,
178526,NZL,2022-06-03,6409.0,9.0,,,,,,,,,
178527,NIC,2022-06-02,0.0,0.0,,,,,,,,,
178528,NIC,2022-06-03,0.0,0.0,,,,,,,,,
178529,NER,2022-06-02,0.0,0.0,,,,,,,,,
178530,NER,2022-06-03,0.0,0.0,,,,,,,,,
178531,NGA,2022-06-02,85.0,0.0,,,,0.0036,,,,,
178532,NGA,2022-06-03,0.0,0.0,,,,,,,,,
178533,PRK,2022-06-02,0.0,0.0,,,,,,,,,
178534,PRK,2022-06-03,0.0,0.0,,,,,,,,,
178535,MKD,2022-06-02,75.0,1.0,,,,0.0699,,,,,
178536,MKD,2022-06-03,60.0,2.0,,,,,,,,,
178537,NOR,2022-06-02,287.0,,,,,,4339011.0,4040667.0,2951249.0,2136.0,
178538,NOR,2022-06-03,380.0,,,,,,,,,,
178539,OMN,2022-06-02,0.0,0.0,,,,,,,,,
178540,OMN,2022-06-03,0.0,0.0,,,,,,,,,
178541,PAK,2022-06-02,36.0,0.0,,,,0.0043,135139203.0,123279040.0,8256712.0,80065.0,
178542,PAK,2022-06-03,0.0,0.0,,,,,135161044.0,123311587.0,8279860.0,73344.0,
178543,PLW,2022-06-02,0.0,0.0,,,,,,,,,
178544,PLW,2022-06-03,18.0,0.0,,,,,,,,,
178545,PSE,2022-06-02,,0.0,,,,,,,,,
178546,PSE,2022-06-03,,0.0,,,,,,,,,
178547,PAN,2022-06-02,3789.0,4.0,,,,,,,,,
178548,PAN,2022-06-03,3296.0,5.0,,,,,3477600.0,3103529.0,1661492.0,,
178549,PNG,2022-06-02,71.0,0.0,,,,,,,,,
178550,PNG,2022-06-03,12.0,0.0,,,,,,,,,
178551,PRY,2022-06-02,0.0,0.0,,,,,,,,,
178552,PRY,2022-06-03,0.0,0.0,,,,,,,,,
178553,PER,2022-06-02,1080.0,22.0,,,,,,,,,
178554,PER,2022-06-03,799.0,1.0,,,,,,,,,
178555,PHL,2022-06-02,182.0,0.0,,,,,,,,,
178556,PHL,2022-06-03,225.0,1.0,,,,,,,,,
178557,POL,2022-06-02,219.0,7.0,,,,,22723608.0,22501063.0,12103864.0,5137.0,
178558,POL,2022-06-03,236.0,5.0,,,,,,,,,
178559,PRT,2022-06-02,31894.0,40.0,,,,,,,,,
178560,PRT,2022-06-03,26392.0,53.0,,,,,,,,,
178561,QAT,2022-06-02,256.0,0.0,,,13696.0,,,,1629098.0,4611.0,
178562,QAT,2022-06-03,221.0,0.0,,,,,,,1634178.0,7932.0,
178563,ROU,2022-06-02,182.0,1.0,,,,,,8110998.0,,1208.0,
178564,ROU,2022-06-03,404.0,3.0,,,,,,,,,
178565,RUS,2022-06-02,4196.0,82.0,,,,0.0292,81077691.0,73988718.0,14356919.0,,
178566,RUS,2022-06-03,4113.0,75.0,,,,,,,,,
178567,RWA,2022-06-02,55.0,0.0,,,3773.0,0.0027,,,,,
178568,RWA,2022-06-03,25.0,0.0,,,5622.0,,,,,,
178569,SHN,2022-06-02,0.0,,,,,,,,,,
178570,SHN,2022-06-03,0.0,,,,,,,,,,
178571,KNA,2022-06-02,11.0,0.0,,,,0.0174,,,,,
178572,KNA,2022-06-03,25.0,0.0,,,,,,,,,
178573,LCA,2022-06-02,100.0,0.0,,,,0.5776,,,,,
178574,LCA,2022-06-03,122.0,0.0,,,,,59353.0,54032.0,7488.0,,
178575,SPM,2022-06-02,0.0,0.0,,,,,,,,,
178576,SPM,2022-06-03,0.0,0.0,,,,,,,,,
178577,VCT,2022-06-02,24.0,1.0,,,,,,,,,
178578,VCT,2022-06-03,21.0,0.0,,,,,,,,,
178579,WSM,2022-06-02,0.0,0.0,,,,,,,,,
178580,WSM,2022-06-03,297.0,1.0,,,,,,,,,
178581,SMR,2022-06-02,0.0,0.0,,,,,,,,,
178582,SMR,2022-06-03,0.0,0.0,,,,,,,,,
178583,STP,2022-06-02,0.0,0.0,,,,,,,,,
178584,STP,2022-06-03,0.0,0.0,,,,,,,,,
178585,SAU,2022-06-02,775.0,2.0,,,25921.0,0.0231,,,,,
178586,SAU,2022-06-03,662.0,1.0,,,,,,,,,
178587,SEN,2022-06-02,1.0,0.0,,,,,,,,,
178588,SEN,2022-06-03,8.0,0.0,,,,,,,,,
178589,SRB,2022-06-02,242.0,0.0,10.0,124.0,7058.0,0.0362,3353072.0,3277059.0,1900617.0,221.0,
178590,SRB,2022-06-03,271.0,2.0,10.0,105.0,,,,,,,
178591,SYC,2022-06-02,73.0,0.0,,,,,,,,,
178592,SYC,2022-06-03,56.0,0.0,,,,,,,,,
178593,SLE,2022-06-02,0.0,0.0,,,,0.0,,,,,
