BRN,2022-03-13,2555.0,3.0,,,,,,,,,
BRN,2022-03-14,2278.0,4.0,,,,,,,,,
BRN,2022-03-15,2553.0,1.0,,,,,,,,,
BGR,2022-03-13,523.0,14.0,,,4881.0,0.1157,,2053286.0,702776.0,290.0,
BGR,2022-03-14,2433.0,64.0,,,,,,2053901.0,703983.0,1851.0,
BGR,2022-03-15,2393.0,34.0,,,,,,,,,
BFA,2022-03-13,0.0,0.0,,,,,,,,,
BFA,2022-03-14,0.0,0.0,,,,,,,,,
BFA,2022-03-15,0.0,0.0,,,,,,,,,
BDI,2022-03-13,0.0,0.0,,,,,,,,,
BDI,2022-03-14,26.0,0.0,,,,,,,,,
BDI,2022-03-15,5.0,0.0,,,,,,,,,
KHM,2022-03-13,125.0,1.0,,,,0.0867,14750100.0,13881075.0,8727957.0,20591.0,
KHM,2022-03-14,145.0,0.0,,,3334.0,,14757205.0,13883923.0,8764362.0,46358.0,
KHM,2022-03-15,139.0,1.0,,,,,,,,,
CMR,2022-03-13,0.0,0.0,,,,,,,,,
CMR,2022-03-14,0.0,0.0,,,,,,,,,
CMR,2022-03-15,0.0,0.0,,,,,,,,,
CAN,2022-03-13,866.0,5.0,492.0,4198.0,,,32635559.0,31027767.0,18003414.0,25213.0,
CAN,2022-03-14,4079.0,44.0,475.0,3855.0,,,,,,,
CAN,2022-03-15,8548.0,,330.0,2329.0,,,,,,,
CPV,2022-03-13,0.0,0.0,,,,,,,,,
CPV,2022-03-14,1.0,0.0,,,,,,,,,
CPV,2022-03-15,4.0,0.0,,,,,,,,,
CYM,2022-03-13,0.0,0.0,,,,,,,,,
CYM,2022-03-14,0.0,0.0,,,,,,,,,
CYM,2022-03-15,262.0,4.0,,,,,,,,,
CAF,2022-03-13,0.0,0.0,,,,,,,,,
CAF,2022-03-14,0.0,0.0,,,,,,,,,
CAF,2022-03-15,329.0,0.0,,,,,,,,,
TCD,2022-03-13,0.0,0.0,,,,,,,,,
TCD,2022-03-14,7.0,0.0,,,,,,,,,
TCD,2022-03-15,2.0,0.0,,,,,,,,,
CHL,2022-03-13,15271.0,94.0,936.0,,91231.0,0.1961,,,,,
CHL,2022-03-14,11495.0,126.0,938.0,,63646.0,,,,,,
CHL,2022-03-15,10082.0,34.0,931.0,,,,,,,,
CHN,2022-03-13,2142.0,0.0,,,,,,,,3810000.0,
CHN,2022-03-14,1420.0,0.0,,,,,,,,5036000.0,
CHN,2022-03-15,3387.0,0.0,,,,,,,,,
COL,2022-03-13,486.0,14.0,,,21405.0,0.034,,,,,
COL,2022-03-14,469.0,18.0,,,,,,,,,
COL,2022-03-15,573.0,20.0,,,,,,,,,
COM,2022-03-13,3.0,0.0,,,,,,,,,
COM,2022-03-14,6.0,0.0,,,,,,,,,
COM,2022-03-15,0.0,0.0,,,,,,,,,
COG,2022-03-13,0.0,0.0,,,,,,,,,
COG,2022-03-14,0.0,0.0,,,,,,,,,
COG,2022-03-15,0.0,0.0,,,,,,,,,
COK,2022-03-13,0.0,,,,,,,,,,
COK,2022-03-14,0.0,,,,,,14992.0,14241.0,,,
COK,2022-03-15,0.0,,,,,,,,,,
CRI,2022-03-13,0.0,0.0,,,,,,,,,
